                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                0.40643,                0.51755,                0.92009,                0.71421,                0.65576,                0.71549,                0.65756,                0.42825,                 1.2868,                0.89197,             0.00056655,             0.00056655,             0.00056655
                    102,                0.39956,                0.48464,                0.91393,                0.81282,                0.79709,                 0.8625,                0.81009,                0.39421,                0.92377,                0.87864,             0.00056105,             0.00056105,             0.00056105
                    103,                0.40526,                0.50109,                 0.9211,                0.70175,                 0.6869,                0.72146,                0.66542,                0.44222,                 1.1693,                0.95036,             0.00055556,             0.00055556,             0.00055556
                    104,                0.39468,                0.49651,                0.91174,                0.69455,                0.73603,                0.73511,                0.67753,                0.40369,                  1.569,                0.88851,             0.00055006,             0.00055006,             0.00055006
                    105,                0.38128,                0.48203,                0.90646,                0.65513,                0.82244,                0.81543,                0.74078,                0.43785,                0.99427,                0.93392,             0.00054456,             0.00054456,             0.00054456
                    106,                0.40668,                0.51061,                0.92561,                 0.7104,                0.79294,                0.80614,                0.72434,                0.43055,                0.93726,                0.92549,             0.00053906,             0.00053906,             0.00053906
                    107,                0.39059,                 0.4744,                0.90996,                 0.7529,                0.86243,                0.87327,                0.82694,                0.35829,                0.75377,                0.87181,             0.00053356,             0.00053356,             0.00053356
                    108,                0.39471,                0.48361,                 0.9114,                 0.7858,                0.86803,                0.88853,                0.83717,                 0.3814,                0.74956,                0.87147,             0.00052806,             0.00052806,             0.00052806
                    109,                0.38572,                0.47484,                0.90466,                0.85003,                0.89505,                 0.9236,                0.88232,                0.35342,                0.58111,                0.84582,             0.00052256,             0.00052256,             0.00052256
                    110,                0.40871,                0.49897,                0.92187,                0.86854,                0.88531,                0.93422,                0.88484,                0.36978,                0.58746,                0.85053,             0.00051706,             0.00051706,             0.00051706
                    111,                0.37997,                0.45303,                0.90116,                0.90144,                0.89078,                0.91228,                0.86368,                0.36951,                0.60122,                0.86688,             0.00051156,             0.00051156,             0.00051156
                    112,                 0.3884,                0.46288,                0.90721,                0.79368,                0.86657,                0.90451,                0.85077,                0.37083,                0.64653,                0.86497,             0.00050606,             0.00050606,             0.00050606
                    113,                0.39387,                0.48993,                0.90752,                0.83078,                 0.8308,                0.84991,                0.80062,                0.35342,                0.71581,                0.85426,             0.00050056,             0.00050056,             0.00050056
                    114,                0.38294,                0.45888,                0.91071,                0.52648,                0.70886,                 0.5619,                 0.5242,                0.45626,                 1.6183,                0.92226,             0.00049506,             0.00049506,             0.00049506
                    115,                0.38875,                0.47578,                0.90544,                0.55443,                0.85896,                 0.7131,                0.67399,                0.36234,                 1.1035,                0.85799,             0.00048956,             0.00048956,             0.00048956
                    116,                0.37964,                0.44156,                0.90354,                0.90209,                0.77314,                0.86255,                0.81783,                 0.3619,                 0.6766,                0.85417,             0.00048406,             0.00048406,             0.00048406
                    117,                0.38374,                0.45691,                0.91417,                0.75715,                0.87489,                0.87861,                0.82213,                0.37731,                 0.7347,                0.85099,             0.00047856,             0.00047856,             0.00047856
                    118,                0.38659,                0.45821,                0.91133,                0.79949,                0.81551,                0.89288,                0.84428,                0.34067,                0.66656,                0.83867,             0.00047306,             0.00047306,             0.00047306
                    119,                0.38202,                0.45704,                0.90743,                0.72659,                0.86341,                0.88156,                0.83051,                0.34627,                0.76235,                 0.8488,             0.00046756,             0.00046756,             0.00046756
                    120,                0.37756,                0.45129,                 0.9091,                0.88315,                0.79411,                0.88478,                0.82995,                 0.3613,                0.76355,                0.85862,             0.00046206,             0.00046206,             0.00046206
                    121,                 0.3741,                0.45645,                0.90457,                0.85516,                 0.8731,                0.93437,                 0.8888,                0.35306,                0.54345,                 0.8597,             0.00045657,             0.00045657,             0.00045657
                    122,                0.38229,                0.45079,                0.91154,                0.81247,                0.91306,                0.92157,                0.86286,                0.36021,                0.47675,                 0.8519,             0.00045107,             0.00045107,             0.00045107
                    123,                 0.3773,                0.46203,                  0.907,                0.81468,                0.80583,                0.88282,                0.82883,                0.35379,                0.66708,                0.84656,             0.00044557,             0.00044557,             0.00044557
                    124,                0.36758,                0.42085,                0.90409,                0.90301,                0.80555,                 0.9143,                0.86588,                0.36651,                0.67723,                0.85513,             0.00044007,             0.00044007,             0.00044007
                    125,                0.37711,                0.42268,                0.89996,                0.88357,                0.82728,                0.89676,                0.84743,                0.38357,                0.62775,                 0.8742,             0.00043457,             0.00043457,             0.00043457
                    126,                0.38044,                0.41606,                0.90474,                0.85505,                0.79959,                0.90944,                0.85428,                0.37619,                0.62424,                0.86543,             0.00042907,             0.00042907,             0.00042907
                    127,                0.37651,                0.41139,                0.90134,                 0.7185,                0.81367,                0.88358,                0.82562,                 0.3722,                0.82774,                0.86824,             0.00042357,             0.00042357,             0.00042357
                    128,                0.37059,                0.41857,                 0.9075,                0.90931,                0.81237,                0.89381,                0.84508,                 0.3559,                0.61773,                0.85215,             0.00041807,             0.00041807,             0.00041807
                    129,                0.36662,                0.41337,                0.90245,                0.92174,                   0.86,                 0.9445,                0.89094,                0.36789,                0.52143,                0.85427,             0.00041257,             0.00041257,             0.00041257
                    130,                 0.3593,                0.42071,                0.90212,                0.92019,                0.84105,                0.93501,                0.88386,                0.36693,                0.52602,                0.84908,             0.00040707,             0.00040707,             0.00040707
                    131,                0.35067,                0.39472,                 0.8994,                0.61932,                0.78028,                0.80397,                0.75653,                0.40492,                 1.0837,                0.86704,             0.00040157,             0.00040157,             0.00040157
                    132,                0.35674,                0.39961,                 0.8947,                0.87683,                    0.8,                0.90439,                0.85306,                0.35515,                0.63834,                0.84786,             0.00039607,             0.00039607,             0.00039607
                    133,                0.35324,                0.40009,                0.90354,                0.84247,                0.70804,                0.85379,                0.80701,                 0.3533,                0.78324,                0.84719,             0.00039057,             0.00039057,             0.00039057
                    134,                0.36265,                0.41474,                0.90437,                0.57898,                0.89468,                0.81532,                0.76827,                0.36373,                0.87967,                0.86015,             0.00038507,             0.00038507,             0.00038507
                    135,                0.36423,                0.42697,                0.90827,                0.89221,                0.78923,                0.88454,                0.83222,                0.35667,                0.63693,                0.85358,             0.00037957,             0.00037957,             0.00037957
                    136,                0.36085,                0.39827,                0.89784,                0.85277,                0.85126,                0.92585,                0.88612,                0.34415,                0.71443,                0.84337,             0.00037407,             0.00037407,             0.00037407
                    137,                0.36387,                0.40996,                0.90089,                0.69455,                0.90354,                0.90493,                0.86155,                0.33747,                0.72649,                0.85319,             0.00036857,             0.00036857,             0.00036857
                    138,                0.35793,                0.39754,                0.90184,                0.70819,                0.84935,                0.88591,                0.83516,                0.35903,                0.76792,                0.85097,             0.00036307,             0.00036307,             0.00036307
                    139,                0.36308,                0.40469,                0.90777,                0.62472,                0.82981,                 0.7964,                0.74744,                0.40204,                0.97934,                0.86971,             0.00035758,             0.00035758,             0.00035758
                    140,                 0.3587,                 0.3928,                0.90488,                0.67895,                0.81589,                0.83897,                0.79318,                 0.3779,                0.82346,                0.86092,             0.00035208,             0.00035208,             0.00035208
                    141,                0.34594,                0.38751,                0.89776,                0.70793,                0.75209,                0.80266,                0.75168,                0.37229,                 0.8419,                0.86109,             0.00034658,             0.00034658,             0.00034658
                    142,                0.35449,                0.38748,                0.89794,                0.71051,                0.81242,                0.85744,                0.81307,                0.36227,                0.82573,                0.84942,             0.00034108,             0.00034108,             0.00034108
                    143,                0.33987,                0.38282,                 0.8958,                0.65064,                0.82862,                0.79722,                0.75469,                0.35853,                 1.2675,                0.85135,             0.00033558,             0.00033558,             0.00033558
                    144,                0.34015,                0.36701,                0.89233,                0.91375,                0.76628,                0.89524,                0.84931,                0.35745,                0.73395,                0.85177,             0.00033008,             0.00033008,             0.00033008
                    145,                 0.3417,                0.37372,                0.89744,                0.92624,                0.80476,                0.90595,                0.86856,                0.33857,                0.67626,                0.84558,             0.00032458,             0.00032458,             0.00032458
                    146,                0.34041,                0.37947,                0.89264,                0.81558,                0.85112,                0.86584,                0.82507,                 0.3446,                0.71861,                0.84797,             0.00031908,             0.00031908,             0.00031908
                    147,                 0.3477,                0.37576,                0.89938,                0.91606,                0.83842,                0.91924,                0.88099,                0.34458,                0.56362,                 0.8512,             0.00031358,             0.00031358,             0.00031358
                    148,                 0.3464,                0.38038,                0.89249,                0.88774,                0.84677,                0.92261,                0.87285,                0.36119,                 0.6102,                0.85385,             0.00030808,             0.00030808,             0.00030808
                    149,                0.34311,                0.36416,                0.89639,                 0.7872,                0.85048,                0.91028,                 0.8664,                0.35341,                0.64764,                0.84653,             0.00030258,             0.00030258,             0.00030258
                    150,                0.34919,                0.36518,                0.90314,                0.94506,                0.82314,                0.91797,                0.87356,                0.35549,                0.61563,                0.84714,             0.00029708,             0.00029708,             0.00029708
                    151,                0.35104,                0.36141,                 0.8997,                0.93154,                0.79915,                0.90227,                0.86251,                 0.3432,                0.67506,                0.84166,             0.00029158,             0.00029158,             0.00029158
                    152,                0.32874,                0.35571,                0.89052,                 0.8755,                0.83624,                0.84904,                0.81229,                0.33334,                0.71796,                0.84476,             0.00028608,             0.00028608,             0.00028608
                    153,                0.33928,                0.36545,                0.89462,                0.91407,                0.84958,                0.90805,                0.86213,                0.35975,                0.59599,                0.87201,             0.00028058,             0.00028058,             0.00028058
