                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    130,                0.38153,                0.42218,                0.90813,                0.94973,                0.82301,                0.94873,                0.91265,                0.34782,                0.58147,                0.86375,             0.00040707,             0.00040707,             0.00040707
                    131,                0.37541,                0.43376,                0.90749,                0.87384,                0.87991,                0.92814,                0.87488,                0.37779,                0.53226,                  0.863,             0.00040157,             0.00040157,             0.00040157
                    132,                0.37525,                0.44488,                0.90561,                0.79532,                0.82318,                0.87772,                0.83041,                0.39046,                 0.7905,                0.86645,             0.00039607,             0.00039607,             0.00039607
                    133,                0.36755,                0.42627,                0.90744,                0.91077,                0.80737,                0.90427,                 0.8624,                0.33683,                0.54381,                0.84762,             0.00039057,             0.00039057,             0.00039057
                    134,                0.38297,                0.40366,                0.90785,                0.91729,                0.84604,                0.93688,                0.89162,                0.32715,                0.55856,                0.84702,             0.00038507,             0.00038507,             0.00038507
                    135,                 0.3668,                0.41798,                0.90385,                0.92236,                0.85893,                0.96263,                0.90997,                0.36104,                0.52274,                0.85525,             0.00037957,             0.00037957,             0.00037957
                    136,                0.36449,                0.41887,                0.90466,                 0.7945,                0.77605,                0.91598,                0.87083,                0.35173,                0.91053,                0.85714,             0.00037407,             0.00037407,             0.00037407
                    137,                0.36672,                0.43576,                0.90849,                0.83488,                0.90556,                0.94994,                0.90893,                0.35265,                0.46053,                0.84556,             0.00036857,             0.00036857,             0.00036857
                    138,                0.36489,                0.41176,                0.91388,                0.90191,                0.90376,                0.95689,                0.90728,                0.36581,                0.47212,                0.85828,             0.00036307,             0.00036307,             0.00036307
                    139,                0.37584,                0.41595,                0.90612,                0.92012,                0.80143,                0.94054,                0.89614,                0.33557,                0.54638,                0.85303,             0.00035758,             0.00035758,             0.00035758
                    140,                0.36441,                 0.4033,                0.90093,                0.81607,                 0.7836,                 0.8946,                 0.8517,                0.35738,                0.64515,                0.85518,             0.00035208,             0.00035208,             0.00035208
